id,name,quiz1,quiz2,quiz3,QuizAvg,pass_fail,pass_levels,certificate,library,ExtraCourse,PracticeCourse,english,precounter,quiz1counter,quiz2counter,quiz3counter,platform_Pclassification,student_Lprediction
35,rvanoorty@tumblr.com,86,52,89,75.66666667,1,1,1,0,1,0,1,2,8,6,3,52,1
36,ahindrickz@livejournal.com,69,34,18,40.33333333,0,0,0,0,0,0,1,9,9,7,3,73,0
37,jpipkin10@abc.net.au,96,51,52,66.33333333,1,1,1,1,0,1,1,6,10,2,8,45,1
38,rpetras11@globo.com,65,72,37,58,1,1,1,0,0,1,1,5,1,5,9,75,1
39,sdelacote12@oaic.gov.au,73,95,12,60,1,1,1,0,0,1,0,1,6,5,8,13,1
40,fgruszka13@pen.io,68,17,66,50.33333333,1,1,1,0,1,1,0,1,9,1,2,2,1
41,ddulieu14@drupal.org,94,75,87,85.33333333,1,1,1,1,0,1,1,6,1,1,2,22,1
42,mgotts15@forbes.com,75,41,17,44.33333333,0,0,0,0,1,0,0,8,1,3,6,4,0
43,bblampey16@smugmug.com,91,90,39,73.33333333,1,1,1,1,0,1,0,7,1,5,7,76,1
44,elinstead17@wiley.com,17,16,85,39.33333333,0,0,0,0,1,0,0,6,6,1,3,86,0
45,joheaney18@tripod.com,22,83,32,45.66666667,0,0,0,0,0,1,0,6,10,8,8,68,0
46,wbarnwell19@meetup.com,60,40,68,56,1,1,1,1,0,1,0,2,3,10,5,74,1
47,blindsell1a@ftc.gov,43,22,24,29.66666667,0,0,0,1,1,1,0,6,9,10,7,32,0
48,gmcruvie1b@china.com.cn,48,62,96,68.66666667,1,1,1,1,0,1,0,2,3,10,6,41,1
49,csaffe1c@g.co,20,52,27,33,0,0,0,1,0,0,1,10,6,4,4,71,0
50,rboyse1d@army.mil,27,86,98,70.33333333,1,1,1,0,1,1,0,5,10,2,10,16,1
51,nbiasotti1e@newyorker.com,72,49,10,43.66666667,0,0,0,1,1,0,0,1,3,4,9,78,0
52,aburgher1f@youtu.be,46,85,57,62.66666667,1,1,1,0,0,1,0,9,4,4,10,76,1
53,jovenell1g@columbia.edu,57,16,95,56,1,1,1,0,0,1,0,9,6,4,4,20,1
54,dfrantzeni1h@plala.or.jp,16,29,88,44.33333333,0,0,0,1,1,1,1,9,3,4,2,10,0
55,cogles1i@godaddy.com,35,79,68,60.66666667,1,1,1,1,1,0,1,1,7,10,6,76,1
56,vsampson1j@cafepress.com,18,11,77,35.33333333,0,0,0,0,0,0,1,2,5,6,7,60,0
57,lbecom1k@plala.or.jp,27,54,38,39.66666667,0,0,0,0,1,0,1,4,1,7,3,69,0
58,amottram1l@yandex.ru,72,66,43,60.33333333,1,1,1,1,1,1,0,6,1,8,10,4,1
59,hdimitresco1m@usda.gov,24,79,79,60.66666667,1,1,1,1,1,0,1,7,8,7,7,91,1
60,tstallybrass1n@ning.com,37,99,16,50.66666667,1,1,1,1,0,0,1,7,8,4,10,64,1
61,aduding1o@virginia.edu,10,44,100,51.33333333,1,1,1,1,1,0,1,10,2,1,4,35,1
62,slintot1p@mapy.cz,53,39,39,43.66666667,0,0,0,1,0,0,1,7,7,8,2,71,0
63,nhinchshaw1q@weather.com,44,16,39,33,0,0,0,0,0,0,1,4,3,10,8,99,0
64,ahoundsom1r@hhs.gov,70,48,53,57,1,1,1,1,1,0,1,1,6,2,10,52,1
65,galred1s@desdev.cn,78,98,21,65.66666667,1,1,1,0,0,1,0,5,6,5,6,37,1
66,emuckleston1t@51.la,72,28,29,43,0,0,0,1,0,0,0,5,5,1,5,23,0
67,msterman1u@bbb.org,19,47,60,42,0,0,0,1,0,0,0,1,2,9,3,48,0
68,cabramsky1v@biglobe.ne.jp,11,57,61,43,0,0,0,0,1,1,1,1,3,7,3,61,0
69,bkimberley1w@domainmarket.com,41,93,43,59,1,1,1,0,1,1,1,1,1,10,7,17,1
70,pteare1x@businessweek.com,14,57,25,32,0,0,0,1,1,1,0,3,3,10,7,39,0
71,cshillaker1y@techcrunch.com,69,22,50,47,0,0,0,0,0,0,0,3,8,6,1,80,0
72,nshera1z@blogs.com,63,46,89,66,1,1,1,0,0,1,0,3,7,7,8,16,1
73,vlishmund20@livejournal.com,68,92,75,78.33333333,1,1,1,1,0,1,0,9,10,7,9,25,1
74,myelyashev21@dyndns.org,15,70,52,45.66666667,0,0,0,1,1,1,0,1,3,1,2,71,0
75,slangcaster22@wunderground.com,79,38,76,64.33333333,1,1,1,0,1,1,1,4,6,4,10,28,1
76,mshillitto23@deviantart.com,14,84,55,51,1,1,1,0,1,1,0,3,10,9,10,85,1
77,bcheyne24@redcross.org,74,85,45,68,1,1,1,0,1,0,1,10,6,9,5,55,1
78,tskein25@angelfire.com,12,63,37,37.33333333,0,0,0,0,1,0,0,10,8,4,1,24,0
79,kpavel26@deviantart.com,62,77,50,63,1,1,1,1,1,0,0,3,9,10,2,96,1
80,ujullian27@ftc.gov,59,34,61,51.33333333,1,1,1,0,0,1,0,10,6,9,10,67,1
81,tcharlwood28@army.mil,52,29,20,33.66666667,0,0,0,1,1,0,1,8,7,5,10,78,0
82,eglowinski29@cargocollective.com,71,51,10,44,0,0,0,0,0,1,1,8,5,10,1,40,0
83,lstreader2a@yelp.com,64,85,22,57,1,1,1,0,0,0,0,3,6,7,1,30,1
84,jheggman2b@businessinsider.com,96,50,88,78,1,1,1,0,1,0,1,10,2,2,7,58,1
85,nvlasenko2c@time.com,68,66,73,69,1,1,1,0,1,1,0,2,4,7,10,12,1
86,mellerbeck2d@guardian.co.uk,75,11,37,41,0,0,0,1,0,0,1,2,5,2,4,24,0
87,sswindlehurst2e@imageshack.us,64,19,40,41,0,0,0,1,1,1,1,1,7,9,10,40,0
88,fdaspar2f@biblegateway.com,74,81,52,69,1,1,1,1,0,1,1,10,10,2,10,38,1
89,vwhopples2g@marketwatch.com,67,56,19,47.33333333,0,0,0,0,0,1,1,7,2,2,1,30,0
90,wroark2h@goodreads.com,13,58,83,51.33333333,1,1,1,1,1,1,0,4,4,5,2,99,1
91,lbenfell2i@multiply.com,98,62,67,75.66666667,1,1,1,1,0,1,0,5,7,8,9,51,1
92,kdorkens2j@spiegel.de,73,22,57,50.66666667,1,1,1,0,1,1,1,6,4,6,6,14,1
93,qfranzewitch2k@earthlink.net,71,76,54,67,1,1,1,1,0,0,0,1,1,5,2,95,1
94,jwilce2l@skype.com,67,38,37,47.33333333,0,0,0,1,1,1,1,7,4,7,3,31,0
95,gmityushin2m@bloglines.com,35,22,13,23.33333333,0,0,0,0,1,0,0,10,7,9,3,72,0
96,rsegge2n@hud.gov,18,52,38,36,0,0,0,1,1,1,0,7,1,8,10,34,0
97,dwescott2o@cnbc.com,48,19,83,50,1,1,1,0,0,1,0,3,7,2,10,81,1
98,cburns2p@berkeley.edu,39,45,96,60,1,1,1,1,0,1,1,8,9,7,2,31,1
99,bmarryatt2q@microsoft.com,16,35,70,40.33333333,0,0,0,0,0,0,1,7,9,7,6,34,0
100,ifallanche2r@redcross.org,13,94,47,51.33333333,1,1,1,0,0,1,1,6,1,2,8,12,1
101,smasding2s@usgs.gov,29,60,29,39.33333333,0,0,0,1,1,1,0,3,4,1,4,6,0
102,ajaksic2t@bloglovin.com,21,31,89,47,0,0,0,0,1,0,0,10,3,6,2,68,0
103,kstonman2u@purevolume.com,92,46,34,57.33333333,1,1,1,0,0,0,1,2,3,2,5,94,1
104,rmcdermot2v@vkontakte.ru,78,34,35,49,0,0,0,1,1,1,1,3,3,8,5,96,0
105,gmcpake2w@intel.com,31,87,19,45.66666667,0,0,0,0,1,1,1,8,9,8,4,93,0
106,aseals2x@mtv.com,84,77,33,64.66666667,1,1,1,1,0,1,1,6,2,5,4,59,1
107,treoch2y@people.com.cn,71,71,39,60.33333333,1,1,1,0,1,0,0,10,2,8,2,71,1
108,bastin2z@is.gd,42,15,94,50.33333333,1,1,1,0,1,1,0,3,10,6,1,27,1
109,ewoolen30@yahoo.co.jp,92,76,47,71.66666667,1,1,1,0,1,0,0,1,8,10,5,65,1
110,sesmond31@illinois.edu,75,86,44,68.33333333,1,1,1,0,1,0,1,2,3,2,7,90,1
111,shaddleton32@ebay.co.uk,36,18,89,47.66666667,0,0,0,0,1,1,1,1,4,2,8,25,0
112,rspira33@4shared.com,65,79,54,66,1,1,1,0,1,0,0,8,9,2,4,6,1
113,pegar34@hao123.com,18,93,84,65,1,1,1,1,1,0,1,10,1,10,5,77,1
114,ftetford35@home.pl,12,49,94,51.66666667,1,1,1,1,0,1,0,7,9,9,3,56,1
115,tpeele36@cafepress.com,93,30,83,68.66666667,1,1,1,1,0,1,0,8,8,8,1,27,1
116,mkryska37@mozilla.org,62,16,24,34,0,0,0,0,1,1,0,7,10,6,6,19,0
117,anunn38@barnesandnoble.com,38,24,65,42.33333333,0,0,0,0,1,1,1,5,7,6,5,8,0
118,lcordey39@mayoclinic.com,14,16,60,30,0,0,0,1,0,0,1,2,9,2,5,78,0
119,facock3a@sourceforge.net,40,39,13,30.66666667,0,0,0,0,0,1,0,4,10,5,3,26,0
120,fchaperling3b@psu.edu,71,57,17,48.33333333,0,0,0,1,0,0,0,3,10,5,6,62,0
121,mdilgarno3c@diigo.com,69,96,49,71.33333333,1,1,1,0,1,0,0,6,10,5,10,71,1
122,hspread3d@gnu.org,84,21,81,62,1,1,1,1,0,0,0,10,9,9,9,1,1
123,asheavills3e@illinois.edu,60,38,37,45,1,1,1,1,1,1,0,10,8,2,5,47,1
124,sforth3f@behance.net,85,75,54,71.33333333,1,1,1,0,0,1,1,10,8,6,6,26,1
125,cbordes3g@rambler.ru,70,22,79,57,1,1,1,1,1,0,1,7,9,6,3,86,1
126,weary3h@surveymonkey.com,70,14,80,54.66666667,1,1,1,0,0,1,1,10,10,3,6,12,1
127,dstrothers3i@time.com,72,41,33,48.66666667,0,0,0,1,1,0,0,5,8,3,4,93,0
128,scottom3j@wisc.edu,39,20,19,26,0,0,0,1,1,1,1,3,7,6,3,96,0
129,adilley3k@apple.com,92,58,24,58,1,1,1,1,0,1,1,4,5,1,3,49,1
130,knajera3l@smh.com.au,88,44,74,68.66666667,1,1,1,1,0,0,1,9,10,8,3,63,1
131,akillingbeck3m@yahoo.com,34,36,43,37.66666667,0,0,0,1,1,0,0,1,1,6,9,10,0
132,ftincey3n@ocn.ne.jp,34,62,25,40.33333333,0,0,0,1,1,0,1,5,10,10,2,97,0
133,ranselmi3o@arizona.edu,23,95,75,64.33333333,1,1,1,0,1,1,1,8,1,4,9,58,1
134,osamsworth3p@springer.com,59,98,61,72.66666667,1,1,1,1,0,1,1,3,5,6,7,49,1
135,afruser3q@gmpg.org,82,45,69,65.33333333,1,1,1,0,1,0,1,6,4,8,2,22,1
136,wpegram3r@techcrunch.com,15,30,40,28.33333333,0,0,0,1,1,1,0,7,3,4,10,61,0
137,cambrogiotti3s@google.de,69,17,31,39,0,0,0,1,0,1,1,3,2,1,3,43,0
138,glawton3t@i2i.jp,97,88,71,85.33333333,1,1,1,0,1,0,0,7,1,6,2,53,1
139,iducker3u@jugem.jp,78,36,91,68.33333333,1,1,1,0,1,1,0,5,4,2,5,81,1
140,pbellringer3v@google.ca,85,74,80,79.66666667,1,1,1,1,0,1,1,10,1,4,8,47,1
141,fswancott3w@washingtonpost.com,65,64,22,50.33333333,1,1,1,0,1,1,1,1,5,9,5,41,1
142,thackley3x@globo.com,98,59,38,65,1,1,1,1,1,1,1,9,6,8,7,25,1
143,aconry3y@pen.io,40,35,99,58,1,1,1,1,1,1,1,10,7,2,1,77,1
144,ckilfeder3z@ed.gov,14,14,28,18.66666667,0,0,0,0,1,0,0,5,7,10,1,23,0
145,gingold40@baidu.com,25,99,83,69,1,1,1,1,1,0,0,1,4,3,10,90,1
146,apaoletti41@fema.gov,49,51,42,47.33333333,0,0,0,1,1,1,0,3,6,2,6,11,0
147,sgabler42@blogtalkradio.com,78,53,72,67.66666667,1,1,1,0,1,1,1,3,4,7,2,39,1
148,gshadrach43@jugem.jp,64,60,44,56,1,1,1,0,1,1,1,4,3,10,3,68,1
149,ogreystock44@utexas.edu,19,65,69,51,1,1,1,1,0,0,0,4,7,1,10,13,1
150,lelverston45@auda.org.au,52,21,94,55.66666667,1,1,1,0,0,0,0,1,8,5,8,100,1
151,lander46@phpbb.com,13,28,65,35.33333333,0,0,0,1,0,1,0,9,6,3,2,84,0
152,lmcconnulty47@weather.com,49,58,41,49.33333333,0,0,0,0,0,1,1,7,4,7,5,14,0
153,dmaccallister48@github.io,97,65,72,78,1,1,1,1,1,1,0,4,4,7,1,81,1
154,uemmitt49@yellowbook.com,47,14,86,49,0,0,0,0,0,1,1,2,3,4,9,56,0
155,mcayser4a@alibaba.com,30,73,68,57,1,1,1,0,1,0,0,8,4,8,1,74,1
156,upethick4b@virginia.edu,68,68,41,59,1,1,1,0,0,0,0,1,6,9,2,76,1
157,mtrewhella4c@google.cn,41,29,47,39,0,0,0,1,1,1,0,10,10,2,5,38,0
158,dgrigorini4d@google.ru,51,91,69,70.33333333,1,1,1,0,1,0,0,7,7,2,8,21,1
159,mgroocock4e@huffingtonpost.com,62,32,76,56.66666667,1,1,1,1,1,1,0,10,7,10,9,83,1
160,cdovydenas4f@boston.com,82,75,84,80.33333333,1,1,1,1,1,0,0,1,8,9,5,87,1
161,dmethringham4g@wsj.com,36,63,77,58.66666667,1,1,1,0,0,1,0,1,6,9,10,82,1
162,frowat4h@ucoz.ru,24,78,20,40.66666667,0,0,0,1,1,0,0,5,7,9,2,59,0
163,tfeldharker4i@google.it,87,29,70,62,1,1,1,0,0,0,0,7,8,5,4,41,1
164,amutlow4j@illinois.edu,74,86,96,85.33333333,1,1,1,0,1,0,0,10,10,9,8,18,1
165,uletchford4k@google.nl,77,89,47,71,1,1,1,1,1,0,0,5,5,9,10,65,1
166,obirchwood4l@youku.com,23,19,39,27,0,0,0,1,0,0,0,7,6,2,3,23,0
167,asaterthwait4m@abc.net.au,50,44,91,61.66666667,1,1,1,0,0,0,0,5,10,7,2,49,1
168,lmcbain4n@mit.edu,20,30,73,41,0,0,0,1,1,1,0,10,8,4,8,9,0
169,sewbach4o@paypal.com,52,41,80,57.66666667,1,1,1,1,0,0,0,9,8,3,3,60,1
170,efitzsimmons4p@cbc.ca,44,59,24,42.33333333,0,0,0,0,0,0,1,8,3,8,6,33,0
171,ekorneluk4q@barnesandnoble.com,66,49,26,47,0,0,0,1,1,0,1,9,9,2,10,88,0
172,valeavy4r@ucoz.com,11,100,32,47.66666667,0,0,0,0,1,1,0,10,10,7,5,41,0
173,bmillership4s@multiply.com,50,88,47,61.66666667,1,1,1,1,0,1,0,3,7,10,1,66,1
174,ichard4t@dropbox.com,51,54,53,52.66666667,1,1,1,1,1,1,0,10,7,6,8,21,1
175,kianetti4u@goo.gl,81,81,29,63.66666667,1,1,1,0,0,1,0,8,7,4,2,50,1
176,gvenner4v@g.co,50,98,66,71.33333333,1,1,1,1,0,1,1,4,10,10,10,71,1
177,dhaseman4w@domainmarket.com,54,61,72,62.33333333,1,1,1,1,0,1,1,8,2,7,9,10,1
178,fgosford4x@creativecommons.org,96,73,25,64.66666667,1,1,1,1,0,1,1,10,4,8,5,40,1
179,nbaalham4y@google.it,24,23,54,33.66666667,0,0,0,0,1,1,0,6,5,9,2,96,0
180,obrimble4z@upenn.edu,87,77,32,65.33333333,1,1,1,0,0,1,0,3,10,3,9,27,1
181,smyers50@woothemes.com,88,19,39,48.66666667,0,0,0,0,0,0,0,7,7,4,7,67,0
182,kropkes51@cargocollective.com,94,51,26,57,1,1,1,1,1,1,0,6,6,7,8,30,1
183,gkivelhan52@arizona.edu,14,59,58,43.66666667,0,0,0,0,1,0,1,6,6,9,6,82,0
184,kklaussen53@sphinn.com,63,86,84,77.66666667,0,0,0,0,1,1,1,10,8,3,4,97,0
185,aknath54@devhub.com,70,23,76,56.33333333,1,1,1,0,1,0,0,3,8,5,3,97,1
186,eollett55@quantcast.com,83,12,93,62.66666667,1,1,1,1,0,0,1,9,2,4,3,39,1
187,lbladge56@columbia.edu,57,76,27,53.33333333,1,1,1,1,1,1,1,7,7,7,4,8,1
188,cjarrold57@ft.com,44,31,89,54.66666667,1,1,1,1,0,1,1,10,7,5,5,34,1
189,emynett58@newsvine.com,57,38,78,57.66666667,1,1,1,0,0,1,0,2,3,8,5,81,1
190,rletty59@flickr.com,37,60,43,46.66666667,0,0,0,1,0,1,0,2,5,7,3,85,0
191,kpeperell5a@nih.gov,91,14,17,40.66666667,0,0,0,1,0,1,0,4,8,3,6,18,0
192,hsidary5b@youtu.be,29,10,28,22.33333333,0,0,0,1,1,1,1,7,7,5,4,24,0
193,lspeakman5c@163.com,36,48,26,36.66666667,0,0,0,1,1,0,0,8,3,8,5,38,0
194,nmatei5d@shareasale.com,91,81,84,85.33333333,1,1,1,0,1,0,0,5,10,2,8,26,1
195,hwhereat5e@hp.com,62,27,63,50.66666667,1,1,1,0,1,0,1,9,8,3,6,29,1
196,cholywell5f@technorati.com,67,79,40,62,1,1,1,0,1,1,1,8,9,3,8,100,1
197,gcordsen5g@trellian.com,72,88,87,82.33333333,1,1,1,0,0,1,0,10,4,8,4,26,1
198,hgraveney5h@netvibes.com,15,66,68,49.66666667,0,0,0,0,0,1,1,5,10,9,9,19,0
199,rpudner5i@vimeo.com,88,13,11,37.33333333,0,0,0,0,1,1,1,4,9,6,4,49,0
200,tbanner5j@google.ru,78,33,33,48,0,0,0,0,0,0,1,8,9,6,6,43,0
201,hlynde5k@arstechnica.com,52,82,84,72.66666667,1,1,1,0,0,0,1,6,5,1,4,86,1
202,dbalser5l@studiopress.com,44,94,84,74,1,1,1,0,1,0,0,3,6,2,7,3,1
203,gblaksland5m@si.edu,85,46,100,77,1,1,1,1,1,1,1,1,3,5,1,51,1
204,jloxdale5n@wp.com,43,35,89,55.66666667,1,1,1,0,0,0,0,5,5,7,10,87,1
205,htousy5o@twitpic.com,27,72,92,63.66666667,1,1,1,0,0,1,0,7,10,3,1,82,1
206,ubeddie5p@bloglines.com,20,23,88,43.66666667,0,0,0,0,1,0,1,8,3,4,7,10,0
207,bjindrak5q@nbcnews.com,70,35,65,56.66666667,1,1,1,0,1,0,0,1,3,9,5,48,1
208,liacobucci5r@google.cn,73,48,22,47.66666667,0,0,0,0,0,0,0,9,5,5,3,54,0
209,rrichel5s@jiathis.com,71,20,17,36,0,0,0,1,0,1,1,10,9,8,6,92,0
210,awildsmith5t@tiny.cc,95,74,37,68.66666667,1,1,1,1,1,0,1,4,4,3,8,30,1
211,bgrushin5u@economist.com,75,60,11,48.66666667,0,0,0,0,1,0,0,8,8,7,7,65,0
212,obovis5v@globo.com,70,53,52,58.33333333,1,1,1,0,0,0,0,5,7,2,6,9,1
213,ncran5w@imageshack.us,15,59,74,49.33333333,0,0,0,1,0,0,0,4,5,10,3,16,0
214,shiddsley5x@earthlink.net,40,13,87,46.66666667,0,0,0,0,1,0,1,9,6,2,4,96,0
215,npeealess5y@amazonaws.com,15,41,25,27,0,0,0,0,0,0,0,2,7,9,9,37,0
216,cbrackpool5z@mlb.com,33,31,34,32.66666667,0,0,0,1,1,0,0,2,4,3,8,90,0
217,bsumers60@theatlantic.com,59,48,86,64.33333333,1,1,1,1,0,0,1,10,9,7,4,98,1
218,sdunwoody61@imdb.com,19,50,33,34,0,0,0,0,0,1,1,8,10,3,9,33,0
219,abourthoumieux62@usda.gov,73,38,51,54,1,1,1,1,1,1,1,1,6,7,7,27,1
220,mjoseph63@bluehost.com,30,95,72,65.66666667,1,1,1,1,1,0,0,3,10,5,8,81,1
221,zassandri64@symantec.com,37,56,91,61.33333333,1,1,1,1,0,1,1,8,9,1,2,69,1
222,ayaneev65@about.com,89,22,54,55,1,1,1,0,0,0,1,6,9,8,6,74,1
223,msnazel66@jugem.jp,35,35,61,43.66666667,0,0,0,1,0,0,1,7,10,2,6,64,0
224,rflorence67@cocolog-nifty.com,10,71,38,39.66666667,0,0,0,1,0,1,0,6,10,7,5,48,0
225,tcoughan68@msu.edu,81,27,41,49.66666667,0,0,0,1,1,1,0,4,1,5,6,41,0
226,fgander69@is.gd,30,88,40,52.66666667,1,1,1,1,1,0,0,10,8,4,10,97,1
227,gcholwell6a@pinterest.com,38,49,98,61.66666667,1,1,1,0,1,1,1,8,9,2,10,3,1
228,mpassman6b@bigcartel.com,61,34,41,45.33333333,0,0,0,0,1,1,0,2,9,8,6,50,0
229,rwright6c@people.com.cn,29,16,25,23.33333333,0,0,0,0,0,1,0,3,7,4,2,28,0
230,jsympson6d@sitemeter.com,55,68,84,69,1,1,1,1,0,1,0,9,10,3,6,64,1
231,dlydden6e@simplemachines.org,81,81,79,80.33333333,1,1,1,1,1,0,1,8,6,8,10,28,1
232,cede6f@spiegel.de,72,32,24,42.66666667,0,0,0,1,0,0,0,8,5,1,2,9,0
233,bpedroni6g@apple.com,70,86,51,69,1,1,1,0,0,0,0,6,6,8,3,33,1
234,ccasbon6h@answers.com,59,41,51,50.33333333,1,1,1,0,1,0,1,3,8,4,4,96,1
235,gkubicki6i@msu.edu,18,13,68,33,0,0,0,1,0,0,0,2,8,10,9,45,0
236,njarratt6j@howstuffworks.com,22,25,83,43.33333333,0,0,0,1,1,0,0,4,3,5,9,73,0
237,lconduit6k@soundcloud.com,72,58,73,67.66666667,1,1,1,0,1,0,0,5,10,3,9,89,1
238,kdana6l@twitter.com,88,94,37,73,1,1,1,1,0,0,1,3,6,9,1,73,1
239,kbeddis6m@w3.org,72,57,20,49.66666667,0,0,0,1,0,0,0,7,3,5,10,46,0
240,oglozman6n@timesonline.co.uk,92,63,74,76.33333333,1,1,1,0,1,1,0,1,6,1,3,32,1
241,bcord6o@seattletimes.com,15,30,33,26,0,0,0,1,0,0,1,9,5,9,4,58,0
242,bvandenoord6p@who.int,24,74,26,41.33333333,0,0,0,0,0,1,0,1,8,7,9,10,0
243,nkahen6q@ucla.edu,63,84,85,77.33333333,1,1,1,1,0,0,1,10,6,8,4,89,1
244,mgorling6r@fotki.com,13,23,43,26.33333333,0,0,0,1,0,0,1,5,10,2,6,14,0
245,ygeard6s@digg.com,48,94,41,61,1,1,1,0,1,1,1,2,5,10,8,2,1
246,aeast6t@storify.com,19,91,32,47.33333333,0,0,0,0,1,1,1,4,9,8,10,96,0
247,twardesworth6u@about.com,47,90,28,55,1,1,1,0,0,0,0,3,4,3,6,32,1
248,chealings6v@cafepress.com,16,49,95,53.33333333,1,1,1,0,1,1,0,2,2,1,10,34,1
249,croland6w@bbc.co.uk,88,69,18,58.33333333,1,1,1,1,0,1,0,8,5,7,9,59,1
250,cwelham6x@myspace.com,22,19,34,25,0,0,0,1,0,0,0,2,2,3,4,12,0
251,fzanuciolii6y@bigcartel.com,85,73,56,71.33333333,1,1,1,0,0,0,0,1,2,6,1,96,1
252,mpauwel6z@google.co.jp,80,76,36,64,1,1,1,0,1,0,1,10,8,10,5,31,1
253,tlorent70@pinterest.com,26,32,81,46.33333333,0,0,0,0,1,1,0,6,10,3,5,74,0
254,ndegowe71@omniture.com,53,98,41,64,1,1,1,1,0,1,1,10,4,10,4,10,1
255,dclougher72@privacy.gov.au,47,51,92,63.33333333,1,1,1,1,1,1,0,3,9,7,3,76,1
256,mbrandsen73@ftc.gov,35,47,37,39.66666667,0,0,0,1,1,1,1,3,6,6,1,92,0
257,ctesh74@cnn.com,83,37,16,45.33333333,0,0,0,1,0,0,1,9,9,3,7,8,0
258,kkeer75@google.it,62,12,62,45.33333333,0,0,0,1,0,0,0,4,7,10,5,4,0
259,swrettum76@arstechnica.com,18,62,89,56.33333333,1,1,1,0,0,1,1,7,1,2,9,23,1
260,ewitham77@fda.gov,11,39,62,37.33333333,0,0,0,1,0,1,0,5,4,1,10,24,0
261,ksent78@dell.com,31,30,50,37,0,0,0,1,1,1,0,4,2,3,6,42,0
262,sblaszczynski79@whitehouse.gov,59,75,88,74,1,1,1,0,1,1,0,4,5,8,6,91,1
263,efrith7a@youku.com,36,87,51,58,1,1,1,1,1,1,1,3,5,4,6,60,1
